genres,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,duration_mins
alternative r&b,0.3217239391848476,0.6570931175114947,0.5396622457857411,0.043496722572022715,0.18208412218777384,-8.293470188656762,0.13887180379844535,117.87034255069248,0.4598055084272972,0.5695635079217568,1,1,4.43
alternative rock,0.15113662569777328,0.4764214724096101,0.7146454021356582,0.17904743614713106,0.19296350079936475,-8.29444860197591,0.057738551115444375,125.59515993458331,0.4983180343471341,0.40754842059788693,7,1,4.08
alternative roots rock,0.21874444444444446,0.5465111111111111,0.5834111111111111,0.09823871977777776,0.14933000000000002,-7.6642222222222225,0.06042555555555555,104.37426666666668,0.4747000000000001,0.4134444444444445,9,1,4.37
amapiano,0.001132,0.7384999999999999,0.75,0.13412000000000002,0.06820000000000001,-5.4465,0.0508,127.0165,0.2685,0.075,1,1,4.92
ambeat,0.3684285714285714,0.7792857142857142,0.729142857142857,0.14704571428571428,0.20248571428571432,-6.131714285714288,0.1725142857142857,98.59928571428571,0.6937142857142857,0.5614285714285714,1,1,4.0
ambient,0.6137670795348155,0.3677278794408692,0.3369899407177103,0.7120103210183099,0.170095201482759,-18.0484478199209,0.05026423986248061,112.2766077292638,0.22660144038031876,0.38067178970164534,2,1,5.64
ambient black metal,0.001325495,0.2638333333333333,0.7681666666666667,0.7681833333333331,0.3260333333333333,-9.345000000000002,0.05736666666666668,111.02750000000003,0.24101666666666666,0.435,4,1,5.94
ambient dub techno,0.00599,0.8040000000000002,0.22899999999999998,0.9259999999999999,0.109,-16.51,0.0937,124.99799999999999,0.295,0.0,6,1,6.51
ambient folk,0.4502492282051282,0.5778153418803418,0.4885215897435898,0.3195554716816239,0.190939452991453,-11.336071153846152,0.0528000811965812,119.22533696581196,0.3520685042735043,0.28577350427350434,2,1,4.51
ambient house,0.06545000000000001,0.6359999999999999,0.8122499999999999,0.16460000000000002,0.29,-12.18375,0.045725,115.005,0.4335,0.4075,6,0,4.92
ambient idm,0.17666666666666667,0.5503333333333333,0.6206666666666666,0.2270095333333333,0.09573333333333334,-9.275666666666668,0.05933333333333333,113.904,0.2846666666666667,0.44666666666666655,8,1,5.3
ambient industrial,0.3206600000000001,0.5011399999999999,0.5147280000000001,0.40614868,0.19188,-14.328920000000002,0.059884000000000014,130.10404,0.43726,0.2572,0,1,4.33
ambient pop,0.5808190476190477,0.2630238095238095,0.2859857142857143,0.7446505714285714,0.17505238095238096,-15.917785714285715,0.033361904761904766,99.39564285714287,0.17347380952380953,0.46833333333333343,4,1,4.32
ambient psychill,0.841,0.0878,0.2215,0.8835,0.1605,-17.6225,0.0353,72.5905,0.039900000000000005,0.1,10,0,7.15
ambient techno,0.06426922222222223,0.6137888888888889,0.6587222222222222,0.5321885999999999,0.11533888888888892,-9.697055555555558,0.06657777777777779,125.3502222222222,0.3504333333333334,0.1883333333333333,7,1,5.4
ambient trance,0.711,0.363,0.1315,0.46895,0.121,-22.065000000000005,0.03995,98.118,0.13505,0.15,10,1,4.94
ambient worship,0.5925459595959596,0.29141212121212123,0.3606742424242425,0.2743791830555556,0.11918358585858585,-11.68768813131313,0.03862121212121212,107.7259154040404,0.1546545454545455,0.5524873737373739,2,1,5.79
american 21st century classical,0.24600000000000002,0.813,0.605,0.00036,0.0847,-6.212999999999999,0.138,145.83700000000005,0.532,0.3,10,1,5.51
american choir,0.9154837490551776,0.3105832766439909,0.24408777777777785,0.1704837013386243,0.2195625736961451,-19.652731443688587,0.0933383068783069,108.07252811791383,0.17936459939531368,0.2559414210128496,10,1,3.94
american classical piano,0.9760277092282248,0.3521621381887141,0.09644277241874058,0.8196721442847912,0.13997958318936438,-25.343989192053122,0.04745157701403775,106.05002229444747,0.2160566785962851,0.17519381334939393,10,1,5.58
american contemporary classical,0.9421492759159391,0.3233225745270501,0.12661264348998458,0.3986221759678351,0.18743506441533986,-24.486818851117107,0.054715195011556236,94.87047589801618,0.27419104182717,0.24172443181818182,9,1,5.58
american early music,0.7941706666666667,0.3097066666666667,0.2636833333333334,0.008728393000000001,0.2535933333333333,-20.27252,0.052150666666666665,107.91752666666666,0.232636,0.13666666666666663,11,1,2.98
american folk revival,0.8465973566034253,0.5422391511645437,0.2289057747421241,0.08521535757435861,0.16038728554801945,-15.521789188199618,0.0770454622887205,111.8638710541067,0.5396005404979999,0.17696398802772928,2,1,2.82
american grindcore,0.09414995375,0.466625,0.965875,0.455875,0.21893750000000006,-7.709999999999999,0.2073,131.66612500000002,0.1278125,0.16,1,1,3.07
american metalcore,0.0029288,0.43725,0.95375,0.001509125,0.15055,-4.643625,0.16112500000000002,114.14974999999998,0.253,0.1025,1,0,3.73
american modern classical,0.8981459009144536,0.4071916103302915,0.2676346587461247,0.43250579568152137,0.2269812615830326,-17.335495110651873,0.12908318483310607,120.2779757555834,0.3998019415367426,0.08124537435555639,7,1,4.75
american oi,0.26960406,0.5381600000000001,0.74036,0.5268880600000001,0.35707799999999995,-9.385560000000002,0.04948000000000001,139.89254,0.6052199999999999,0.1512,11,0,4.59
american orchestra,0.8728493143848399,0.2902853838461394,0.2128457189151572,0.5168120761741598,0.28865600946241565,-19.142189294574692,0.057668127664750976,101.51902633657781,0.263132265290623,0.19582844992932152,10,1,5.57
american post-rock,0.3976192857142857,0.47465,0.34401071428571434,0.7776071428571429,0.131685,-15.916135714285714,0.03819642857142857,117.20140714285715,0.18793571428571432,0.48221428571428576,4,1,5.33
american primitive,0.524945,0.3781414285714286,0.42149207142857137,0.8598916071428571,0.1259492142857143,-14.997160357142858,0.057579964285714276,114.90006250000002,0.4091042142857142,0.23274642857142855,3,1,8.33
american romanticism,0.947655357142857,0.3016196428571428,0.16855625,0.5286375800714287,0.1524607142857143,-18.24539642857143,0.04238125,100.10350535714285,0.2472017857142857,0.13585714285714284,10,1,2.86
american shoegaze,0.16891703333333333,0.32,0.6509999999999999,0.6943333333333334,0.1895555555555556,-10.664111111111113,0.03864444444444445,111.0257777777778,0.301,0.4344444444444446,6,1,5.14
anadolu rock,0.5408571428571428,0.5374285714285715,0.4595714285714286,0.11858714285714285,0.18812857142857145,-12.994857142857144,0.0651,92.78285714285715,0.5864285714285715,0.46,2,0,4.07
anarcho-punk,0.06258715567032967,0.3068538461538461,0.8614747252747252,0.011282248846153848,0.2826991208791209,-9.403282417582414,0.14269362637362634,171.93983516483522,0.4934158241758242,0.4127802197802197,2,1,3.53
anglican liturgy,0.9444285714285714,0.2539916666666667,0.1185265873015873,0.3027034603174603,0.13462261904761905,-21.7220753968254,0.05629484126984127,85.16340476190476,0.21810198412698412,0.21464285714285716,0,1,3.72
animal singing,0.8276666666666666,0.7450000000000001,0.5793333333333334,0.0,0.28800000000000003,-6.5470000000000015,0.1849,103.66133333333332,0.8403333333333333,0.1,7,0,2.49
anime,0.12570333117715626,0.505156490870241,0.8207843706293706,0.07787207172329058,0.229001047979798,-4.755094624125876,0.08283100524475523,129.0874012674825,0.5030434586247088,0.5443082264957266,1,1,4.07
anime latino,0.08245730333333333,0.40663333333333335,0.9125,7.471999999999998e-06,0.19979666666666665,-3.873666666666667,0.06083,143.89813333333333,0.5803266666666667,0.6393333333333334,11,1,3.59
anime rock,0.0936048335042735,0.5541126495726496,0.8282075213675213,0.07183446791452992,0.2658304444444444,-3.9945312820512817,0.12227786324786324,123.74434769230768,0.4909806837606838,0.4893418803418803,11,1,4.0
anime score,0.3272478044520691,0.5269649038774846,0.6432033991528185,0.2788741279480287,0.2058168866080157,-8.916125509938093,0.09636692603453892,124.25902424568264,0.4975296806777452,0.40158996415770615,7,1,3.6
ann arbor indie,0.18831101190476196,0.6030119047619048,0.5306666666666666,0.046020125714285716,0.11941785714285715,-7.3869285714285695,0.07057559523809523,102.00466071428569,0.4110178571428572,0.3910119047619047,2,1,4.39
anthem emo,0.1277836430770202,0.5107172348484849,0.7294657196969698,0.028535826562499995,0.1679187878787879,-5.946806060606061,0.06387788510101013,122.00262323232323,0.3994123106060605,0.4158320707070707,4,1,3.4
anthem worship,0.19700039677823614,0.4783786620530565,0.6272198939756896,0.03664168088867078,0.20941118319876967,-7.296915522136456,0.05426065599769319,124.86255422470647,0.34481199242894744,0.4887984983586194,9,1,4.81
anti-folk,0.4274392953056526,0.5056472132136842,0.5210416634052566,0.15784700207684846,0.17801729503747696,-10.396017332367801,0.05563084710951823,120.80886507783713,0.48978204184340296,0.3914763867259602,7,1,3.9
antilliaanse folklore,0.95,0.583,0.5660000000000001,0.847,0.109,-15.002,0.0476,124.095,0.932,0.0,0,1,3.18
antiviral pop,0.13588698333333335,0.5808055555555555,0.7208333333333332,0.016526709,0.33503555555555553,-6.411983333333333,0.11116055555555558,128.15059999999997,0.6097888888888888,0.5331111111111111,9,1,3.56
appalachian folk,0.796374599343894,0.5511137565399381,0.3285549097691866,0.12345599453104465,0.18065712780826607,-13.475115085598526,0.060246817144605225,122.10043900531336,0.6507150558159382,0.1847176948370429,9,1,3.01
arab alternative,0.19399999999999998,0.736,0.7509999999999999,0.892,0.179,-5.962999999999999,0.0339,127.965,0.146,0.0,7,0,3.5
arab electronic,0.0884118,0.4724000000000001,0.6346666666666667,0.7400000000000001,0.18933333333333333,-13.203,0.10796666666666667,107.78300000000002,0.20186666666666664,0.02333333333333333,6,1,4.39
arab folk,0.7715201256898457,0.4232140454939595,0.3347768362065914,0.30884044138769384,0.25490127723944783,-14.03892372412961,0.06724768962022272,105.6410820450047,0.4722140316442307,0.17460283060674786,7,1,7.58
arab groove,0.4122283333333333,0.5436666666666666,0.42241666666666666,0.4692515625,0.19041666666666668,-12.97525,0.03464166666666667,111.64358333333334,0.5035,0.39416666666666655,10,0,3.55
arab pop,0.4848067503267973,0.5834500000000001,0.5150154575163399,0.1115266847745098,0.15866003267973858,-10.389228267973856,0.05699125816993464,122.02448562091504,0.5762841503267975,0.3196928104575164,4,0,5.53
arabesk,0.47948,0.4266,0.5896,2.552600000000001e-05,0.16364,-8.3804,0.0474,134.38000000000002,0.4412,0.4,5,1,3.84
arabic hip hop,0.391,0.5705,0.667,1.305e-05,0.15045,-5.5089999999999995,0.04615,106.165,0.7105000000000001,0.435,6,1,2.81
arabic jazz,0.9076666666666666,0.4878333333333333,0.17183333333333334,0.3396255,0.12633333333333335,-19.114,0.04578333333333333,118.93916666666668,0.386,0.3583333333333333,7,0,6.63
argentine ambient,0.9215,0.37633333333333335,0.4853333333333333,0.8344999999999999,0.10553333333333333,-17.676833333333327,0.04046666666666667,126.19666666666666,0.12786666666666668,0.18,11,1,3.4
argentine heavy metal,0.08915,0.597,0.6775,0.167955,0.12495,-8.8905,0.1269,139.003,0.46625,0.485,2,1,5.29
argentine hip hop,0.3535,0.7394166666666667,0.703,2.515e-06,0.10660833333333332,-5.161583333333333,0.13445833333333335,130.94724999999997,0.56575,0.6141666666666665,8,1,5.27
argentine indie,0.3745576190476192,0.5436714285714285,0.5333876190476191,0.15103284973809525,0.16193809523809524,-12.876,0.04861357142857143,102.33389047619049,0.5424428571428571,0.5041190476190477,7,1,4.78
argentine metal,0.0185,0.62,0.816,0.007409999999999998,0.0984,-6.2079999999999975,0.222,179.99200000000005,0.6679999999999999,0.48,1,1,4.89
argentine punk,0.042644999999999995,0.5485,0.733,0.00233,0.247,-9.01,0.0467,119.752,0.5685,0.51,9,1,4.09
argentine reggae,0.08303166666666667,0.8155,0.4909166666666666,0.00020650333333333326,0.06074166666666666,-8.029416666666668,0.04215,93.01491666666668,0.8045,0.6475,3,1,3.97
argentine rock,0.2496925589659164,0.5883212593311233,0.6238080677265865,0.07698805009518678,0.17496638209742452,-9.471222596794114,0.04651726588238946,113.40473013657923,0.5845982297140702,0.520854682815032,7,1,4.25
argentine telepop,0.19399999999999998,0.622,0.6970000000000001,0.0,0.305,-11.158,0.0288,138.013,0.843,0.59,9,1,3.36
arizona punk,0.0539,0.42200000000000004,0.9279999999999999,6e-07,0.245,-3.9970000000000008,0.1227,122.881,0.35,0.485,11,1,4.68
arkansas country,0.5146547443200664,0.5827086402052454,0.4844837614961578,0.01014488542381748,0.2286687645149768,-10.217468548468863,0.07322382058793221,114.3680276070038,0.6113005058828209,0.3285158053980593,10,1,3.07
arkansas hip hop,0.21525,0.6482499999999999,0.6585,0.0,0.24645,-5.1549999999999985,0.2115,152.96550000000005,0.4057500000000001,0.6625,7,0,3.63
armenian folk,0.993,0.13699999999999998,0.128175,0.915,0.11675,-19.49525,0.046875,87.93799999999996,0.0445,0.3675,7,1,4.87
art pop,0.3458090228175069,0.5200869723328763,0.5468805013094735,0.2607348679617866,0.18101989140048508,-10.476163317219232,0.05918723506052244,121.94090496216249,0.4210773168484284,0.43848582923197865,7,1,4.24
art punk,0.16518520462529346,0.540587862453824,0.7128906292315266,0.23690734062702504,0.20062243094275325,-9.546010605611661,0.07905443631888366,128.50921432334377,0.6109591771076733,0.3111869213914621,9,1,3.75
art rock,0.27800015425522673,0.49845293023553106,0.5816763756036092,0.18439461568053409,0.19945421412999156,-11.138311459328918,0.05844962450886244,121.45952187849406,0.5130888085604453,0.34062234618131965,9,1,4.55
art song,0.9853622222222221,0.3192906349206349,0.11361141269841273,0.06688976347619048,0.15285246825396825,-19.625370952380948,0.05660622222222221,110.37871039682537,0.16074775396825394,0.13705873015873016,10,1,4.31
asbury park indie,0.08465825000000005,0.3515833333333333,0.8817499999999999,0.351005,0.4803833333333332,-9.48475,0.16326666666666667,122.7479166666667,0.2705,0.0,6,1,4.76
asian american hip hop,0.3294079487179487,0.7279647435897436,0.7153717948717949,0.0009676929487179489,0.16627948717948718,-6.042631410256409,0.14108173076923078,113.21772435897437,0.550823717948718,0.3700320512820513,1,1,3.64
asmr,0.016903333333333333,0.1456666666666667,0.6829999999999999,0.8733333333333334,0.4383333333333333,-24.42100000000001,0.09513333333333332,98.66866666666664,0.02443333333333333,0.6666666666666667,5,1,2.8
assyrian pop,0.0147,0.7140000000000001,0.809,5.44e-05,0.617,-7.0920000000000005,0.0379,132.984,0.63,0.0,7,1,3.77
athens indie,0.10338978846153846,0.4754767929438981,0.7762144303065357,0.15938320775375936,0.1873134109311741,-7.959528918449972,0.03849715876229034,135.12811111914402,0.5348320344129557,0.38588345864661655,7,1,4.01
atl hip hop,0.1272917954967357,0.7344503017743349,0.6532368389728603,0.012843762350448366,0.19072703692354556,-6.4857299524356335,0.1832290283344766,122.41171066416656,0.5471496305582434,0.5139124059110144,1,1,4.09
atl trap,0.11420089598995065,0.7375890059159367,0.6642338110000258,0.0016007469441873985,0.19540435379369145,-6.4383557469839054,0.20733725466945668,122.7128757415588,0.5349945626340129,0.5525865095972513,10,0,3.81
atlanta indie,0.1019375,0.760625,0.6085,0.63557,0.16977499999999998,-7.6305,0.1019375,138.35537499999998,0.3628750000000001,0.29375,11,0,5.19
atlanta metal,0.0003734603030303031,0.4971969696969698,0.9322272727272728,0.16684911,0.2346409090909091,-5.060651515151514,0.06714848484848485,114.0255,0.4583636363636364,0.5157575757575757,1,1,3.72
atlanta punk,0.172,0.565,0.725,0.0,0.174,-3.6060000000000003,0.0338,104.00200000000001,0.418,0.01,7,1,4.32
atmosphere,0.9707777777777776,0.3848833333333333,0.17680555555555555,0.7778888888888891,0.13893888888888886,-15.67116666666667,0.12783333333333333,73.47144444444444,0.3656444444444445,0.17722222222222217,10,1,4.23
atmospheric black metal,0.001325495,0.2638333333333333,0.7681666666666667,0.7681833333333331,0.3260333333333333,-9.345000000000002,0.05736666666666668,111.02750000000003,0.24101666666666666,0.435,4,1,5.94
atmospheric dnb,0.03,0.6829999999999999,0.789,0.0105,0.0724,-9.033999999999999,0.0602,119.50399999999999,0.657,0.48,2,1,4.45
atmospheric post-metal,0.0227489825,0.232,0.58236625,0.805375,0.46236875,-12.0524375,0.049581249999999986,111.4545625,0.18555625,0.2075,9,1,6.65
atmospheric post-rock,0.00942,0.8690000000000001,0.888,0.0011099999999999999,0.18600000000000005,-2.7310000000000003,0.0859,135.023,0.856,0.0,4,0,5.14
atmospheric sludge,3.840000000000001e-05,0.233,0.805,0.5539999999999999,0.48200000000000004,-7.689500000000002,0.05545,111.8225,0.2005,0.205,9,1,6.26
